"ClaimId","Rejected","TypeClass","Year","Doors","Passangers","Costs","RepairType"
77,0,3,2020,5,1,7896,Reperatur
78,0,3,2020,5,1,4396,Reperatur
79,1,2,1000,5,3,3,Reperatur
80,1,3,2013,5,1,1248,Reperatur
81,0,3,2015,5,1,1,Reperatur
82,1,3,2013,5,1,4396,Reperatur
83,1,3,2020,5,1,7788,Austausch
84,0,1,2013,5,1,1000,Reperatur
85,1,2,2016,5,1,4396,Reperatur
86,1,3,2012,2,1,1000,Reperatur
87,0,3,2016,4,4,3438,Reperatur
88,0,3,2020,5,1,4396,Reperatur
89,1,1,2014,2,3,26,Reperatur
90,0,3,2014,5,1,4396,Reperatur
91,0,3,2013,5,1,4396,Reperatur
92,0,3,2015,5,1,7854,Reperatur
93,0,1,2009,4,1,6118,Reperatur
94,0,3,2014,4,3,2058,Reperatur
95,0,3,2005,5,1,4584,Reperatur
96,0,3,2020,5,1,4396,Reperatur
97,0,1,2002,5,1,34654,Austausch
98,1,1,2014,5,2,63358,Austausch
99,1,2,2012,5,2,2,Reperatur
100,0,2,2012,4,1,3,Reperatur
101,0,3,2013,5,1,7896,Reperatur
102,0,3,2020,5,1,7896,Reperatur
103,0,1,2015,5,2,77288,Reperatur
104,0,3,2012,5,1,8654,Reperatur
105,0,3,2011,3,1,793,Reperatur
106,0,3,2013,5,1,7896,Reperatur
107,1,3,2015,5,1,2392,Reperatur
108,1,3,2020,5,1,778,Reperatur
109,0,3,2011,5,1,7896,Reperatur
110,1,3,2020,4,1,1000,Austausch
111,0,1,2008,5,1,5,Reperatur
112,0,3,-8971,4,1,14454,Austausch
113,0,3,2015,5,1,4396,Reperatur
114,0,3,2015,4,1,983,Reperatur
115,0,3,2016,5,1,14458,Austausch
116,0,3,2015,5,1,793,Reperatur
117,0,3,1000,5,1,2758,Austausch
118,0,2,2013,4,1,2,Reperatur
119,0,1,2014,5,2,247521,Austausch
120,0,3,2020,1,3,3128,Reperatur
121,0,2,2015,3,1,1000,Reperatur
122,0,3,2020,5,1,4396,Reperatur
123,0,2,1000,4,1,30071,Austausch
124,1,2,1000,5,1,1,Reperatur
125,0,1,2007,5,2,77288,Reperatur
126,1,3,2017,4,1,11242,Austausch
127,0,3,2020,5,1,2758,Austausch
128,1,3,2014,5,1,7142,Reperatur
129,1,3,2020,4,2,22358,Austausch
130,0,3,2009,5,1,698,Reperatur
131,0,3,2012,5,1,7896,Austausch
132,0,3,2015,5,1,4396,Reperatur
133,0,3,2008,4,1,4397,Reperatur
134,1,2,2013,4,1,3,Reperatur
135,0,2,2014,5,1,1,Reperatur
136,0,2,2014,5,1,15046,Austausch
137,1,1,2015,5,3,26283,Reperatur
138,0,1,2011,4,1,1000,Reperatur
139,0,3,2016,5,1,9217,Reperatur
140,0,1,2014,5,1,1000,Austausch
141,0,3,2020,5,3,15246,Austausch
142,1,3,2015,5,1,2758,Reperatur
143,1,3,2014,4,1,1000,Reperatur
144,0,3,2015,5,1,2755,Austausch
145,0,2,2016,5,1,4396,Reperatur
146,0,2,2015,4,2,1000,Reperatur
147,1,3,2013,5,1,7796,Reperatur
148,0,3,2018,3,3,3438,Reperatur
149,0,2,1000,5,3,3,Reperatur
150,0,2,2010,5,1,1,Reperatur
151,0,2,2007,5,1,1253,Reperatur
152,1,1,2015,4,1,1000,Reperatur
153,0,3,1000,5,1,4396,Reperatur
154,0,3,1000,5,3,4397,Reperatur
155,0,3,2020,5,1,7313,Reperatur
156,0,1,2007,5,2,61379,Austausch
157,1,3,2016,5,1,7733,Austausch
158,0,3,2013,5,1,4396,Reperatur
159,0,3,2020,5,1,8663,Reperatur
160,0,3,2020,-3,3,1000,Reperatur
161,0,3,2009,5,2,4385,Reperatur
162,1,2,2010,5,1,1000,Reperatur
163,0,3,2014,5,1,778,Reperatur
164,0,3,2016,5,1,8663,Reperatur
165,0,3,2020,1,2,39688,Reperatur
166,1,3,2018,5,3,2053,Reperatur
167,1,1,2020,5,2,6,Reperatur
168,0,3,2009,4,5,4410,Reperatur
169,0,1,2020,5,1,2593,Reperatur
170,0,3,2013,5,1,56496,Reperatur
171,0,1,2005,5,1,1000,Reperatur
172,0,3,2019,1,2,2913,Austausch
173,1,3,2020,4,2,11133,Reperatur
174,0,3,2015,5,1,793,Reperatur
175,0,1,2006,5,1,30696,Austausch
176,0,3,2016,4,2,7854,Reperatur
177,0,3,2020,2,2,25467,Reperatur
178,0,1,2008,5,1,28713,Austausch
179,0,2,2013,5,1,1,Reperatur
180,0,3,2011,5,1,0,Reperatur
181,0,3,2020,-3,3,1000,Reperatur
182,0,2,2020,5,1,4397,Austausch
183,0,3,2018,1,3,31388,Reperatur
184,1,2,2020,3,2,4,Reperatur
185,1,3,2019,5,3,2203,Reperatur
186,0,1,2020,5,1,5,Reperatur
187,1,3,2020,4,1,4397,Austausch
188,1,1,2009,5,1,1000,Reperatur
189,0,3,2010,4,2,4397,Austausch
190,0,3,2011,5,1,7896,Reperatur
191,1,2,2012,5,1,1,Reperatur
192,0,2,2015,5,1,1,Reperatur
193,1,3,2015,4,1,7854,Reperatur
194,1,2,2019,4,2,3,Reperatur
195,1,1,2009,5,1,27721,Austausch
196,1,1,2006,5,1,146521,Austausch
197,0,3,2020,5,1,2758,Austausch
198,0,3,2010,5,2,8404,Reperatur
199,1,3,2020,5,1,2758,Austausch
200,0,2,2014,5,1,1,Reperatur
201,0,3,2013,5,1,4396,Reperatur
202,0,3,2020,-3,3,1000,Reperatur
203,0,3,2012,5,1,6496,Reperatur
204,0,3,1000,5,1,723,Austausch
205,1,3,2016,5,1,4396,Reperatur
206,0,3,2020,5,2,10463,Reperatur
207,0,3,2012,4,1,1000,Reperatur
208,1,3,2014,5,1,18788,Austausch
209,1,3,2016,5,1,2758,Austausch
210,1,1,2010,5,1,3,Austausch
211,0,3,2014,5,1,4396,Reperatur
212,1,2,2011,5,1,2,Reperatur
213,0,3,2015,5,1,4584,Reperatur
214,0,2,2013,5,1,1,Reperatur
215,0,3,2020,4,1,2758,Austausch
216,1,1,2012,4,1,11328,Austausch
217,1,3,2013,5,1,793,Reperatur
218,0,2,2010,4,1,3,Reperatur
219,1,1,2012,5,1,76292,Austausch
220,0,2,2013,5,1,4396,Reperatur
221,1,3,2016,5,1,4396,Reperatur
222,0,2,2013,5,1,1,Reperatur
223,0,3,2007,5,1,4396,Reperatur
224,0,3,2020,5,1,7896,Reperatur
225,1,1,2011,4,1,9,Reperatur
226,0,3,2015,5,1,1303,Reperatur
227,1,2,2015,5,1,4396,Reperatur
228,0,3,-8973,5,1,4584,Reperatur
229,0,2,2016,5,1,1,Reperatur
230,0,3,2020,2,2,25467,Reperatur
231,1,1,2011,4,1,8348,Reperatur
232,0,3,2013,5,1,778,Reperatur
233,0,2,2005,5,1,4396,Reperatur
234,1,3,2019,1,3,31388,Reperatur
235,0,2,2014,5,1,4396,Reperatur
236,0,3,2020,5,1,2027,Reperatur
237,0,2,2009,4,1,3,Reperatur
238,1,2,2018,5,3,1000,Reperatur
239,0,2,2015,5,1,4396,Reperatur
240,0,2,2012,5,1,1228,Reperatur
241,0,3,2020,4,1,14454,Austausch
242,1,3,2020,4,1,4397,Austausch
243,0,2,2013,5,1,4396,Reperatur
244,0,3,2015,5,1,713,Reperatur
245,0,3,2013,5,1,723,Austausch
246,0,1,2009,3,1,9,Austausch
247,0,3,2014,5,1,778,Reperatur
248,1,2,2014,5,3,4397,Reperatur
249,1,1,2011,4,2,52554,Reperatur
250,0,2,2007,4,1,3,Reperatur
251,0,3,2020,5,1,4584,Reperatur
252,0,3,2013,4,2,10463,Reperatur
253,0,1,2005,5,1,1000,Reperatur
254,0,3,2013,4,1,4385,Reperatur
255,0,3,2010,5,3,20213,Reperatur
256,1,3,2013,5,3,15246,Austausch
257,1,1,2020,5,1,1000,Austausch
258,1,1,2013,5,1,1000,Reperatur
259,1,1,2011,5,1,512329,Austausch
260,1,2,2008,5,2,3,Reperatur
261,0,3,2020,5,1,2758,Austausch
262,1,3,2019,1,3,31388,Reperatur
263,0,1,2007,4,2,1000,Reperatur
264,0,1,2010,5,1,0,Reperatur
265,0,3,2020,5,1,2758,Austausch
266,0,2,2011,5,1,4396,Reperatur
267,0,3,2016,1,2,39688,Reperatur
268,1,3,2014,4,1,778,Reperatur
269,1,1,2006,5,2,153463,Reperatur
270,1,1,2011,5,1,135633,Reperatur
271,0,1,2020,5,1,3,Reperatur
272,1,3,2014,5,1,0,Reperatur
273,1,2,2010,5,2,4397,Reperatur
274,0,1,2011,5,2,4404,Austausch
275,1,3,2020,5,1,2758,Austausch
276,1,1,2004,4,1,77958,Reperatur
277,0,3,2009,5,1,2758,Reperatur
278,0,2,2020,5,1,0,Reperatur
279,0,3,2018,1,2,2913,Austausch
280,1,3,2011,4,2,1000,Reperatur
281,0,3,2004,5,1,2758,Austausch
282,0,3,2013,5,1,7854,Reperatur
283,0,3,2016,5,1,4396,Reperatur
284,1,3,2015,5,1,4396,Reperatur
285,0,1,2020,5,1,3,Reperatur
286,0,3,2012,5,1,8663,Austausch
287,1,3,2013,5,1,4396,Reperatur
288,0,3,2015,5,1,7896,Reperatur
289,1,2,2010,5,1,1,Reperatur
290,1,3,2015,5,1,2758,Austausch
291,1,1,2014,5,1,1000,Reperatur
292,1,1,2015,4,1,91079,Austausch
293,0,2,2011,5,1,1288,Austausch
294,0,3,2014,5,1,3126,Reperatur
295,0,3,2014,5,1,7896,Reperatur
296,0,1,2020,5,1,27721,Austausch
297,0,3,-8974,5,1,7229,Austausch
298,0,1,2020,4,3,1000,Reperatur
299,1,1,2020,5,1,4398,Reperatur
300,1,1,2008,5,2,247521,Austausch
301,1,3,2020,5,1,2758,Austausch
302,1,3,2020,3,1,1000,Austausch
303,0,3,2015,5,1,0,Reperatur
304,1,2,2020,5,1,1312,Austausch
305,0,3,2020,5,1,4396,Reperatur
306,1,1,1000,4,3,1000,Reperatur
307,1,1,2020,5,1,110883,Austausch
308,1,1,2016,4,1,1000,Austausch
309,0,2,2013,4,1,2,Austausch
310,1,1,2013,5,1,56929,Austausch
311,1,1,2014,5,1,83158,Austausch
312,1,1,2016,3,3,26238,Austausch
313,0,2,2014,4,2,3,Reperatur
314,0,3,2013,5,1,7896,Reperatur
315,0,2,2009,4,2,1000,Reperatur
316,1,3,2014,5,1,7854,Reperatur
317,1,2,2014,4,1,3,Reperatur
318,0,2,2007,5,1,1,Reperatur
319,1,1,2012,5,3,164867,Reperatur
320,1,1,2010,4,2,1000,Austausch
321,0,3,2015,5,1,4584,Reperatur
322,0,3,2013,5,1,7896,Reperatur
323,1,2,2013,5,1,1312,Austausch
324,1,2,2015,4,2,3,Reperatur
325,0,3,2020,-3,3,1000,Reperatur
326,1,1,2011,5,1,135633,Austausch
327,0,3,2005,5,1,6238,Reperatur
328,1,2,2011,5,1,1,Reperatur
329,1,3,2012,4,2,2053,Reperatur
330,1,1,2016,5,2,57979,Austausch
331,1,3,2020,3,1,1000,Austausch
332,0,1,1000,5,1,4398,Reperatur
333,0,1,2011,5,2,153463,Reperatur
334,0,3,2016,3,1,2,Reperatur
335,1,1,2020,4,1,1000,Reperatur
336,0,3,2020,5,1,7896,Reperatur
337,0,1,2013,4,1,1000,Reperatur
338,1,1,2010,5,1,1000,Austausch
339,1,3,2009,5,1,4396,Reperatur
340,0,1,2009,5,1,1000,Reperatur
341,1,2,2020,4,2,3,Reperatur
342,1,1,2014,2,3,26,Reperatur
343,0,2,2013,5,1,1,Reperatur
344,0,2,2014,5,1,1,Reperatur
345,0,2,2011,5,1,1,Reperatur
346,1,2,2014,5,1,1,Reperatur
347,1,2,2010,5,1,1,Reperatur
348,1,3,2020,4,1,4385,Reperatur
349,1,3,2019,4,2,4409,Reperatur
350,0,3,2010,5,1,8663,Reperatur
351,0,3,2014,5,1,923,Reperatur
352,0,1,2020,5,1,4,Reperatur
353,0,3,2016,4,2,7229,Austausch
354,0,3,2014,4,1,4406,Reperatur
355,0,3,2020,5,1,723,Austausch
356,0,3,2013,5,1,4396,Reperatur
357,1,1,2015,5,2,6,Reperatur
358,0,2,2011,5,1,1,Reperatur
359,1,3,2020,5,1,7879,Austausch
360,1,3,2020,5,1,7879,Austausch
361,0,3,2010,4,5,4410,Reperatur
362,0,2,2013,4,1,27721,Austausch
363,0,3,2009,5,2,14454,Austausch
364,0,3,2011,5,1,4396,Reperatur
365,0,3,2020,4,1,4397,Austausch
366,0,3,2013,5,1,4584,Reperatur
367,1,1,2005,4,1,1000,Austausch
368,1,3,2020,5,1,7229,Austausch
369,1,3,2020,5,1,2758,Austausch
370,1,1,2014,5,1,1000,Austausch
371,1,1,2014,4,1,55442,Austausch
372,0,3,2016,4,1,6496,Reperatur
373,0,3,2015,5,1,4396,Reperatur
374,0,1,2015,5,1,135633,Austausch
375,0,3,2019,2,2,2108,Reperatur
376,1,1,2020,4,1,82171,Austausch
377,1,3,2015,5,1,4584,Reperatur
378,0,1,2013,5,3,1000,Austausch
379,0,3,2015,5,1,4013,Austausch
380,0,3,2015,5,1,778,Reperatur
381,1,1,2010,5,1,22753,Austausch
382,1,3,2020,5,3,15742,Austausch
383,0,3,2012,5,1,793,Reperatur
384,1,1,2011,4,1,5,Reperatur
385,0,3,2020,5,1,7896,Reperatur
386,0,2,2016,5,1,1000,Reperatur
387,0,3,2020,0,3,1000,Reperatur
388,1,2,2011,5,1,1,Reperatur
389,0,3,2020,5,1,7729,Austausch
390,1,2,2016,5,1,1,Austausch
391,1,1,2011,4,3,12,Reperatur
392,1,3,2015,5,1,7796,Reperatur
393,0,3,2013,3,1,793,Reperatur
394,1,1,2014,4,1,11328,Austausch
395,1,3,2014,5,3,4403,Reperatur
396,0,3,2015,5,1,7796,Reperatur
397,0,3,2012,5,1,7854,Reperatur
398,0,2,2009,5,1,3,Reperatur
399,0,2,2014,5,1,4396,Reperatur
400,1,2,2013,5,1,2408,Reperatur
401,1,3,2010,5,1,793,Reperatur
402,0,3,2014,5,1,4396,Reperatur
403,0,3,2015,4,1,983,Reperatur
404,0,3,2013,4,1,1000,Reperatur
405,0,3,2015,5,1,8663,Reperatur
406,0,2,2012,4,1,2,Reperatur
407,0,3,2007,5,1,2758,Reperatur
408,1,2,2019,4,2,1000,Reperatur
409,0,3,2015,5,1,778,Reperatur
410,0,3,2020,2,2,25467,Reperatur
411,0,3,2020,5,1,7896,Reperatur
412,0,3,2020,5,1,6858,Austausch
413,1,1,2012,4,1,9,Austausch
414,0,2,2020,5,1,0,Reperatur
415,1,3,2009,5,1,793,Reperatur
416,0,3,2020,5,1,4396,Reperatur
417,1,2,2012,4,2,1000,Reperatur
418,1,2,2016,5,3,1,Reperatur
419,0,2,2013,5,1,1,Reperatur
420,0,3,2018,5,3,1000,Reperatur
421,0,3,2020,5,1,7896,Austausch
422,0,3,2015,5,1,7733,Austausch
423,0,3,2013,5,1,788,Reperatur
424,0,3,2013,4,2,4394,Reperatur
425,0,3,2016,4,2,20213,Reperatur
426,0,3,2020,5,1,4584,Reperatur
427,1,2,2013,4,1,3,Reperatur
428,1,2,2015,5,1,3,Reperatur
429,0,3,2020,5,1,2758,Austausch
430,1,3,2012,5,1,4396,Reperatur
431,1,1,2013,5,1,1000,Reperatur
432,1,3,2020,4,1,4385,Reperatur
433,1,2,2010,4,1,3,Reperatur
434,0,3,2016,5,1,713,Reperatur
435,0,1,2008,4,1,1000,Reperatur
436,1,1,2017,4,3,12,Reperatur
437,0,3,2015,3,3,3438,Reperatur
438,1,2,2014,3,4,1000,Reperatur
439,0,1,2004,4,5,26,Reperatur
440,0,2,2012,5,1,4396,Reperatur
441,1,2,2009,4,2,1000,Reperatur
442,0,3,2015,5,1,4396,Reperatur
443,0,3,2014,4,1,778,Reperatur
444,1,2,2013,5,1,1,Reperatur
445,1,3,2020,5,1,8113,Reperatur
446,1,1,2019,5,3,81858,Reperatur
447,1,2,2017,5,2,4397,Reperatur
448,1,1,2012,5,1,1000,Reperatur
449,1,3,2019,3,2,19258,Austausch
450,1,1,2007,5,1,4398,Reperatur
451,0,2,2011,4,3,1000,Reperatur
452,0,3,2020,4,1,19967,Reperatur
453,0,1,2013,5,1,1000,Austausch
454,1,1,2008,4,1,89104,Austausch
455,0,3,2020,5,1,4396,Reperatur
456,1,3,2013,5,1,7896,Austausch
457,0,1,2004,5,1,1000,Reperatur
458,1,1,2020,4,1,51863,Reperatur
459,1,2,2008,5,1,4396,Reperatur
460,0,3,2020,5,1,2758,Austausch
461,1,1,2008,5,1,1000,Reperatur
462,0,3,2012,5,1,4396,Reperatur
463,0,1,2008,5,1,1000,Reperatur
464,0,2,2008,5,1,1,Reperatur
465,0,3,2020,5,1,4396,Reperatur
466,0,3,2011,5,1,4396,Reperatur
467,0,2,2020,5,1,0,Reperatur
468,0,1,2006,5,1,1000,Reperatur
469,0,3,2020,5,1,773,Austausch
470,1,3,1000,3,2,19258,Austausch
471,0,3,2020,5,1,4584,Reperatur
472,0,3,2011,5,1,8663,Reperatur
473,1,2,2012,4,3,1000,Reperatur
474,1,2,2014,5,1,13792,Austausch
475,0,3,2015,5,1,9838,Reperatur
476,0,1,2020,5,1,5,Reperatur
477,0,2,2012,4,1,2,Reperatur
478,0,3,2013,4,1,7046,Reperatur
479,0,3,2015,5,1,7521,Reperatur
480,1,3,2020,5,2,12288,Reperatur
481,0,3,2018,0,3,1000,Reperatur
482,0,2,2020,5,1,0,Reperatur
483,0,3,2008,5,1,4396,Reperatur
484,1,3,2004,5,1,9588,Reperatur
485,1,1,2014,4,1,91079,Austausch
486,0,3,2020,2,2,25467,Reperatur
487,1,1,2011,4,1,9,Reperatur
488,0,1,2006,5,1,4404,Austausch
489,0,3,2013,5,1,4396,Reperatur
490,1,3,2018,4,2,4409,Reperatur
491,0,3,2020,4,1,19967,Reperatur
492,0,3,2015,5,1,4584,Reperatur
493,0,1,2006,5,1,4398,Reperatur
494,0,1,2002,5,1,49504,Austausch
495,0,3,2015,5,1,4396,Reperatur
496,0,3,2020,5,1,14458,Austausch
497,1,1,2007,4,1,78267,Austausch
498,0,3,2020,5,1,4385,Reperatur
499,0,1,2014,4,3,1000,Reperatur
500,0,3,2014,5,1,7796,Reperatur
501,0,3,2016,5,1,8663,Reperatur
502,0,3,2015,5,1,2758,Austausch
503,0,3,2020,5,1,7629,Austausch
504,0,3,2011,5,1,9588,Reperatur
505,1,1,2016,5,1,1000,Reperatur
506,0,1,2016,4,1,1000,Austausch
507,1,2,2012,5,3,3,Reperatur
508,1,1,2020,5,1,1000,Reperatur
509,0,3,2013,5,1,2253,Reperatur
510,1,3,2014,5,1,56496,Reperatur
511,1,3,2013,5,1,2758,Austausch
512,0,3,2020,5,1,4396,Reperatur
513,1,1,2011,5,1,26288,Reperatur
514,1,1,2007,4,1,1000,Austausch
515,0,3,2014,5,1,7496,Reperatur
516,0,1,2008,5,1,34021,Reperatur
517,1,2,2012,5,1,4396,Reperatur
518,0,3,2020,5,1,1000,Austausch
519,1,2,2011,4,1,3,Reperatur
520,0,3,2012,5,1,7896,Reperatur
521,1,1,2013,5,1,1000,Reperatur
522,0,3,2015,5,1,7896,Reperatur
523,0,3,2020,5,1,723,Austausch
524,1,1,2009,5,2,57979,Austausch
525,0,3,2020,5,1,7229,Austausch
526,0,3,1000,5,1,2758,Austausch
527,1,2,2008,5,1,4396,Reperatur
528,0,1,2020,5,1,221779,Reperatur
529,0,3,2010,5,1,793,Reperatur
530,0,2,2014,3,2,4396,Reperatur
531,1,2,2020,4,2,3,Reperatur
532,0,3,2020,5,1,7229,Austausch
533,0,3,2016,4,2,7229,Austausch
534,1,3,2020,5,3,22358,Austausch
535,0,3,2013,5,1,8663,Reperatur
536,1,2,2018,5,3,1000,Reperatur
537,0,1,2009,5,1,1000,Reperatur
538,1,1,2013,5,1,10643,Austausch
539,0,3,2020,5,1,4397,Reperatur
540,1,1,2015,5,3,1000,Austausch
541,1,1,2011,5,3,7,Reperatur
542,0,3,2018,1,3,3128,Reperatur
543,0,3,2017,1,3,3128,Reperatur
544,1,2,2012,4,1,3,Reperatur
545,0,1,2008,4,1,10643,Austausch
546,0,1,2004,5,1,3,Reperatur
547,1,2,2015,4,1,3,Reperatur
548,1,2,2020,5,1,13863,Austausch
549,0,3,2012,4,2,2053,Reperatur
550,1,2,2018,4,2,1000,Reperatur
551,1,1,2016,5,3,110883,Austausch
552,0,2,2013,5,1,3,Reperatur
553,0,3,2020,5,1,7829,Austausch
554,1,3,2015,5,1,723,Austausch
555,1,3,2015,5,1,778,Reperatur
556,0,1,2005,5,1,1000,Reperatur
557,1,1,2008,4,1,1000,Austausch
558,0,1,2020,5,1,22753,Austausch
559,1,1,2010,4,2,1000,Reperatur
560,1,3,2011,4,1,4394,Reperatur
561,0,3,2020,5,1,2758,Austausch
562,0,3,2010,5,1,7896,Reperatur
563,0,2,2013,5,1,4396,Reperatur
564,0,3,2020,5,1,4396,Reperatur
565,0,3,2020,5,1,4396,Reperatur
566,0,3,2014,3,1,1000,Reperatur
567,0,3,2015,5,1,7896,Reperatur
568,0,3,2013,5,5,2108,Reperatur
569,0,3,2020,5,1,7229,Austausch
570,1,3,2012,5,1,7854,Reperatur
571,1,2,2005,5,1,4396,Reperatur
572,1,1,2007,3,1,51479,Reperatur
573,1,1,2011,5,1,26388,Reperatur
574,1,3,2020,5,1,2758,Austausch
575,0,3,2016,5,1,4396,Reperatur
576,0,3,2015,5,1,4397,Reperatur
577,1,2,2012,5,1,1,Reperatur
578,1,1,2010,4,1,1000,Reperatur
579,0,3,2020,4,1,14458,Austausch
580,1,3,2012,5,1,793,Reperatur
581,1,2,2014,4,2,3,Reperatur
582,1,1,2010,4,2,110883,Austausch
583,0,2,2007,5,1,3,Reperatur
584,0,1,2011,5,1,4013,Austausch
585,0,3,2020,5,1,8713,Austausch
586,1,1,2016,5,3,1000,Reperatur
587,0,2,2008,5,1,2,Reperatur
588,1,1,2005,4,2,1000,Austausch
589,0,3,2015,5,1,4396,Reperatur
590,0,3,2020,5,1,4396,Reperatur
591,0,3,2011,5,1,713,Reperatur
592,1,1,2007,4,1,78267,Austausch
593,0,3,2008,5,1,4584,Reperatur
594,0,3,2020,5,3,2758,Austausch
595,0,2,2011,4,1,3,Reperatur
596,0,3,2011,4,2,1000,Reperatur
597,1,2,2020,5,1,3,Reperatur
598,0,3,2008,5,1,0,Reperatur
599,0,3,2020,5,1,723,Austausch
600,1,1,2008,4,1,56929,Austausch
601,1,2,2014,3,2,3,Reperatur
602,0,3,2020,5,1,7896,Reperatur
603,0,1,2020,5,1,1000,Reperatur
604,0,3,2009,5,1,4396,Reperatur
605,1,1,2011,5,1,1000,Austausch
606,0,3,2011,4,1,1000,Reperatur
607,0,3,2013,5,1,7896,Reperatur
608,1,1,2013,5,1,4398,Reperatur
609,1,2,2015,4,3,41579,Austausch
610,1,1,2010,5,1,153463,Reperatur
611,0,3,2010,4,6,3128,Reperatur
612,0,3,2020,5,1,4396,Reperatur
613,1,3,2020,4,1,4397,Austausch
614,0,3,2020,5,1,2758,Austausch
615,0,3,2011,5,1,4396,Reperatur
616,1,2,2014,4,3,7,Reperatur
617,0,3,2012,4,2,4394,Reperatur
618,0,3,2014,4,1,4385,Reperatur
619,1,2,2019,3,2,4,Reperatur
620,0,2,2014,5,1,4396,Reperatur
621,0,3,2013,4,1,14454,Austausch
622,1,1,2010,4,1,52554,Reperatur
623,1,3,2015,4,2,15742,Austausch
624,0,3,2015,5,1,7854,Reperatur
625,0,3,2015,5,1,4385,Reperatur
626,0,1,2005,5,1,32321,Reperatur
627,0,2,2006,5,1,1312,Austausch
628,1,1,2015,5,1,77958,Reperatur
629,0,3,2014,5,1,7896,Reperatur
630,0,3,2020,5,1,7733,Austausch
631,1,1,2000,5,1,3,Reperatur
632,0,3,2007,5,1,7054,Reperatur
633,1,1,2012,5,1,4398,Austausch
634,0,1,2020,5,1,0,Reperatur
635,0,3,2018,2,3,4410,Reperatur
636,1,2,2013,5,1,1,Reperatur
637,0,3,2012,5,1,793,Reperatur
638,0,2,2012,4,2,1000,Reperatur
639,0,3,2010,5,6,39688,Reperatur
640,0,3,2020,4,1,4385,Reperatur
641,0,3,2015,5,1,7854,Reperatur
642,1,1,2014,5,1,1000,Austausch
643,0,3,2020,2,3,4410,Reperatur
644,1,3,2020,5,1,56496,Reperatur
645,1,3,1000,3,2,19258,Austausch
646,1,1,2008,4,1,76729,Austausch
647,0,3,2015,5,1,7896,Reperatur
